,Sno,date,Negative,Positive
331,332,2020-11-27,23,17
332,333,2020-11-28,27,20
333,334,2020-11-29,26,13
334,335,2020-11-30,28,31
335,336,2020-12-01,20,22
336,337,2020-12-02,24,18
337,338,2020-12-03,23,20
338,339,2020-12-04,22,31
339,340,2020-12-05,10,15
340,341,2020-12-06,19,15
341,342,2020-12-07,22,20
342,343,2020-12-08,30,35
343,344,2020-12-09,35,39
344,345,2020-12-10,27,27
345,346,2020-12-11,21,11
346,347,2020-12-12,9,14
347,348,2020-12-13,12,13
348,349,2020-12-14,24,13
349,350,2020-12-15,21,16
350,351,2020-12-16,15,31
351,352,2020-12-17,30,23
352,353,2020-12-18,20,15
353,354,2020-12-19,8,25
354,355,2020-12-20,8,10
355,356,2020-12-21,16,9
356,357,2020-12-22,17,17
357,358,2020-12-23,24,17
358,359,2020-12-24,13,14
359,360,2020-12-25,20,11
360,361,2020-12-26,15,8
361,362,2020-12-27,10,10
362,363,2020-12-28,11,12
363,364,2020-12-29,15,12
364,365,2020-12-30,16,13
365,366,2020-12-31,13,13
366,367,2021-01-01,11,13
367,368,2021-01-02,12,18
368,369,2021-01-03,17,15
369,370,2021-01-04,24,21
370,371,2021-01-05,21,12
371,372,2021-01-06,23,21
372,373,2021-01-07,18,11
373,374,2021-01-08,19,11
374,375,2021-01-09,15,20
375,376,2021-01-10,11,11
376,377,2021-01-11,26,18
377,378,2021-01-12,37,23
378,379,2021-01-13,13,13
379,380,2021-01-14,20,14
380,381,2021-01-15,30,27
381,382,2021-01-16,20,20
382,383,2021-01-17,12,16
383,384,2021-01-18,14,17
384,385,2021-01-19,20,21
385,386,2021-01-20,17,16
386,387,2021-01-21,23,24
387,388,2021-01-22,20,27
388,389,2021-01-23,18,11
389,390,2021-01-24,17,18
390,391,2021-01-25,18,12
391,392,2021-01-26,11,10
392,393,2021-01-27,22,18
393,394,2021-01-28,16,12
394,395,2021-01-29,13,19
395,396,2021-01-30,19,14
396,397,2021-01-31,17,19
397,398,2021-02-01,21,14
398,399,2021-02-02,31,12
399,400,2021-02-03,16,16
400,401,2021-02-04,15,15
401,402,2021-02-05,15,15
402,403,2021-02-06,15,12
403,404,2021-02-07,8,19
404,405,2021-02-08,20,14
405,406,2021-02-09,16,15
406,407,2021-02-10,10,10
407,408,2021-02-11,23,21
408,409,2021-02-12,13,19
409,410,2021-02-13,13,11
410,411,2021-02-14,5,10
411,412,2021-02-15,14,22
412,413,2021-02-16,22,18
